Date,GustDir(Deg),GustSpd(m/s),WindRun(Km),Rain(mm),Tmean(C),Tmax(C),Tmin(C),Tgmin(C),VapPress(hPa),ET10(C),Rad(MJ/m2),SoilM(%)
2002-12-13,245,20.4,709,0.8,18.0,20.5,13.6,10.7,14.4,20.0,29.33,18.9
2002-12-14,268,19.0,528,0.0,16.7,22.0,11.7,9.4,14.5,19.3,22.58,17.8
2002-12-15,248,17.2,487,0.0,16.3,20.2,12.5,9.3,11.7,19.2,23.76,16.7
2002-12-16,238,13.7,397,0.0,15.2,18.8,12.5,9.7,12.3,18.3,16.52,15.8
2002-12-17,247,9.2,226,0.9,15.8,21.3,8.9,7.8,14.1,18.8,17.19,15.3
2002-12-18,35,8.0,212,2.0,16.1,18.7,14.8,14.8,16.5,18.7,9.44,15.2
2002-12-19,122,8.8,311,0.1,17.6,21.2,15.2,14.8,16.1,20.6,26.28,15.2
2002-12-20,88,9.1,230,1.7,17.1,22.2,13.1,12.3,16.5,20.8,21.14,15.0
2002-12-21,237,11.5,373,0.0,16.2,20.1,11.8,11.1,13.8,19.2,17.03,14.9
2002-12-22,235,11.1,333,0.0,16.7,19.6,14.8,12.2,12.5,19.2,16.8,14.4
2002-12-23,250,11.2,364,0.0,17.2,21.2,14.2,11.4,13.4,20.3,22.2,14.0
2002-12-24,241,10.3,381,0.3,18.5,23.9,13.8,11.6,16.6,21.0,23.3,13.7
2002-12-25,13,9.7,300,0.0,18.9,25.4,12.1,11.3,16.8,22.1,23.81,13.2
2002-12-26,264,14.3,426,4.5,18.5,22.8,12.3,10.1,16.2,21.2,21.27,13.5
2002-12-27,223,10.7,285,0.0,14.5,18.4,8.9,7.6,10.0,18.5,19.18,13.3
2002-12-28,227,12.1,301,0.0,13.5,18.6,6.6,6.6,10.5,17.7,18.55,12.9
2002-12-29,105,11.7,269,0.0,15.2,20.8,8.9,8.0,13.5,18.7,19.36,12.5
2002-12-30,64,8.0,238,0.0,16.3,21.3,10.0,9.7,13.9,21.6,30.67,12.1
2002-12-31,69,8.4,237,0.0,16.4,21.9,9.8,9.4,13.4,22.5,31.62,11.6
2003-01-01,44,8.3,213,0.0,16.7,23.3,9.5,9.3,14.7,22.9,30.83,11.1
2003-01-02,61,10.2,297,0.0,17.4,22.3,11.5,11.3,15.2,22.7,26.75,10.6
2003-01-03,72,8.2,218,0.0,17.5,23.5,11.1,10.9,15.9,22.0,20.75,10.2
2003-01-04,47,8.4,260,0.0,18.3,23.1,12.4,12.8,17.5,22.6,20.17,10.0
2003-01-05,21,7.4,196,32.8,18.6,20.9,16.7,16.6,20.0,21.4,8.88,11.9
2003-01-06,69,5.6,168,5.0,19.1,22.1,17.3,17.1,20.1,21.5,14.8,20.1
2003-01-07,94,12.1,293,1.6,19.4,23.2,15.8,15.5,18.2,21.6,19.26,18.7
2003-01-08,114,19.8,528,52.3,16.1,17.7,15.1,14.6,16.9,18.5,3.07,31.0
2003-01-09,84,16.0,455,33.4,18.6,22.0,15.2,14.7,20.3,19.4,11.05,43.5
2003-01-10,41,14.8,455,20.1,19.0,21.6,17.6,17.6,21.1,20.2,10.28,48.3
2003-01-11,71,14.2,583,5.1,19.0,21.9,17.2,17.0,19.3,20.8,22.07,45.7
2003-01-12,86,12.1,453,0.0,19.5,22.7,17.6,16.6,19.1,21.7,25.42,37.6
2003-01-13,77,10.0,339,1.8,18.6,21.6,16.2,16.5,18.6,21.1,12.69,35.8
2003-01-14,92,9.2,306,1.4,16.3,19.8,13.8,13.3,14.2,20.5,22.06,35.1
2003-01-15,92,10.8,269,0.0,15.2,19.2,10.8,9.3,10.1,20.5,29.78,33.8
2003-01-16,226,8.5,207,0.0,15.9,22.1,10.1,10.1,12.6,20.3,19.88,31.8
2003-01-17,210,10.2,235,0.0,16.2,22.8,8.7,9.4,14.3,20.0,20.52,29.8
2003-01-18,225,7.1,148,0.0,16.9,22.5,10.2,10.7,14.7,20.2,16.45,28.0
2003-01-19,85,6.4,179,0.0,17.6,23.5,10.4,11.1,16.2,21.4,22.08,26.4
2003-01-20,246,11.1,334,0.0,19.6,23.6,16.1,15.6,17.1,22.9,23.01,24.5
2003-01-21,274,11.2,403,0.0,18.9,23.6,14.9,14.2,19.0,21.7,16.1,23.0
2003-01-22,280,13.4,450,0.4,19.8,24.3,15.9,14.6,19.1,22.0,19.16,22.0
2003-01-23,237,15.6,504,4.4,18.3,22.1,14.9,12.7,16.6,21.1,18.09,22.0
2003-01-24,260,17.1,594,1.3,17.4,20.9,14.6,12.5,14.8,19.7,20.72,22.0
2003-01-25,234,21.4,581,1.4,16.4,19.5,14.0,12.2,13.0,18.8,23.39,20.9
2003-01-26,211,13.5,315,0.0,16.3,20.8,12.6,10.4,11.0,19.8,28.25,19.7
2003-01-27,257,20.9,639,0.0,17.7,21.3,12.5,12.0,16.2,20.0,20.16,18.2
2003-01-28,265,15.5,445,0.8,17.6,21.2,13.4,12.0,13.8,20.4,24.64,17.1
2003-01-29,240,14.0,366,0.1,16.3,21.5,11.1,10.5,12.9,19.6,22.47,16.1
2003-01-30,84,8.5,249,0.0,17.2,22.8,10.2,10.8,14.1,21.4,28.79,15.0
2003-01-31,21,8.8,230,0.0,17.0,23.1,10.1,10.1,14.7,22.1,28.58,13.9
2003-02-01,270,8.7,221,0.0,18.2,25.5,10.3,10.1,16.2,22.6,24.77,13.1
2003-02-02,231,10.6,234,0.0,20.0,25.1,14.6,13.4,16.0,23.5,24.48,12.4
2003-02-03,229,10.8,335,0.0,18.6,23.0,14.3,13.4,15.9,22.2,20.61,11.7
2003-02-04,233,15.8,432,0.0,18.0,21.6,14.8,13.2,14.1,20.7,18.57,11.2
2003-02-05,83,11.0,303,0.7,17.5,21.3,12.9,13.6,16.2,20.5,16.8,10.9
2003-02-06,77,7.5,217,0.0,19.0,23.1,14.7,14.1,15.2,23.3,26.72,10.6
2003-02-07,103,8.6,222,0.0,18.6,25.5,11.6,11.6,15.1,23.3,26.01,10.2
2003-02-08,226,5.8,123,0.0,17.4,22.5,11.8,12.3,15.3,21.7,12.31,9.9
2003-02-09,255,9.1,199,0.0,18.4,24.2,12.5,13.0,15.1,21.6,16.48,9.8
2003-02-10,175,8.0,209,0.0,18.1,24.6,11.5,12.5,15.9,21.9,18.69,9.6
2003-02-11,197,8.0,154,0.0,17.8,23.0,12.0,12.9,16.2,21.4,13.37,9.4
2003-02-12,218,10.2,252,0.0,18.9,25.6,12.5,13.0,16.9,21.9,21.08,9.3
2003-02-13,79,8.9,261,0.0,19.0,23.9,14.8,15.0,18.2,22.0,15.06,9.1
2003-02-14,281,11.7,302,0.1,18.3,25.5,11.2,11.6,16.9,22.2,22.15,8.9
2003-02-15,202,12.8,385,0.0,18.0,22.7,12.8,10.3,12.2,21.6,25.88,8.7
2003-02-16,77,6.7,170,0.0,16.7,24.0,8.9,9.2,13.4,21.4,20.16,8.4
2003-02-17,59,9.5,203,0.0,16.9,23.6,10.7,11.0,14.9,21.4,20.33,8.3
2003-02-18,262,10.2,297,0.0,18.1,26.3,10.8,10.6,16.5,21.3,15.91,8.1
2003-02-19,258,10.1,302,11.3,18.3,20.5,16.3,14.8,19.1,20.5,6.88,9.0
2003-02-20,252,9.0,261,0.8,17.5,21.2,14.8,13.9,15.9,19.5,12.95,9.8
2003-02-21,261,19.3,422,2.2,16.1,21.4,12.1,12.4,14.4,18.6,18.0,9.6
2003-02-22,206,7.7,172,0.0,15.4,18.2,12.7,12.5,12.1,18.1,10.12,9.5
2003-02-23,96,6.1,147,0.0,15.3,21.3,7.9,8.5,12.8,19.0,18.69,9.4
2003-02-24,117,6.3,168,0.0,16.7,20.2,13.0,13.0,15.0,19.3,11.31,9.3
2003-02-25,140,16.4,414,32.2,17.1,19.4,13.7,14.1,17.9,17.8,5.79,13.1
2003-02-26,118,21.7,570,38.7,18.2,20.3,17.0,16.1,18.9,17.9,3.4,21.7
2003-02-27,92,18.0,606,28.2,19.3,21.4,17.8,16.9,21.1,19.0,7.22,35.4
2003-02-28,47,13.3,430,11.8,19.7,22.1,18.0,17.7,22.0,19.8,9.02,34.8
2003-03-01,83,9.1,283,3.2,20.5,24.6,16.9,16.9,21.5,21.3,18.32,33.6
2003-03-02,21,13.3,363,4.4,20.6,23.9,17.1,17.5,21.4,21.4,15.02,32.9
2003-03-03,27,18.7,552,13.6,20.0,23.6,16.2,14.1,18.1,21.0,20.71,38.8
2003-03-04,231,14.3,342,0.1,16.5,20.5,11.2,11.1,13.0,18.9,18.6,34.5
2003-03-05,122,8.1,206,0.0,15.2,21.9,8.2,9.3,12.3,19.0,24.14,33.3
2003-03-06,188,9.4,199,0.0,17.8,22.1,14.7,13.6,15.5,19.7,15.06,32.0
2003-03-07,82,10.2,313,1.8,18.8,22.0,16.4,15.8,19.0,20.1,12.31,30.8
2003-03-08,105,12.6,504,2.1,18.9,20.0,18.2,17.0,19.6,19.4,5.32,30.0
2003-03-09,81,13.0,550,0.7,19.5,20.9,18.6,17.6,20.2,19.4,6.24,29.8
2003-03-10,80,20.1,642,31.7,18.1,19.2,16.9,16.1,19.4,18.5,2.15,41.9
2003-03-11,81,16.6,515,53.4,17.3,19.1,15.4,14.6,19.1,18.3,5.43,52.7
2003-03-12,185,10.4,400,0.0,18.1,24.3,13.5,12.1,15.7,18.7,22.27,43.5
2003-03-13,235,15.8,405,0.0,17.3,20.5,14.4,12.9,14.5,18.3,19.18,37.1
2003-03-14,213,10.9,299,0.3,16.5,21.3,12.5,12.1,15.5,17.9,15.32,35.8
2003-03-15,187,9.0,277,0.2,17.8,20.4,15.9,14.1,16.3,18.3,8.76,35.1
2003-03-16,103,10.8,264,13.5,17.3,21.4,13.5,14.0,16.4,18.7,14.89,42.5
2003-03-17,76,8.6,216,0.0,17.4,22.5,12.8,13.4,16.2,19.1,21.14,37.8
2003-03-18,55,8.5,226,7.6,17.0,21.6,13.1,13.8,16.6,19.2,17.16,41.3
2003-03-19,95,10.1,262,0.9,16.3,20.1,12.1,13.1,15.2,18.2,11.98,38.2
2003-03-20,96,8.8,348,0.0,18.1,20.9,16.5,14.6,15.3,18.7,15.19,37.3
2003-03-21,87,11.7,355,0.4,18.0,20.2,16.4,15.3,16.9,19.0,12.24,36.7
2003-03-22,53,9.6,290,0.6,18.4,22.1,16.3,15.6,18.4,19.9,15.85,36.0
2003-03-23,72,7.8,252,1.8,18.5,21.2,15.8,15.0,18.3,19.8,9.32,35.4
2003-03-24,66,10.8,293,0.0,17.5,22.4,11.6,12.9,16.9,19.5,18.0,34.6
2003-03-25,91,11.9,386,10.8,18.4,21.3,16.1,16.0,19.1,19.6,11.77,39.8
2003-03-26,38,11.1,472,1.6,19.6,22.0,17.7,16.1,19.5,19.6,11.3,39.2
2003-03-27,69,13.7,512,10.3,19.4,21.0,18.1,17.5,20.6,19.4,5.37,42.4
2003-03-28,70,21.3,551,29.1,18.6,20.2,17.1,16.4,20.3,18.9,2.99,51.5
2003-03-29,29,6.7,212,0.3,19.9,24.3,16.0,16.4,20.0,19.8,14.03,45.5
2003-03-30,356,7.5,116,9.6,18.0,23.6,13.1,14.0,18.7,19.4,10.93,45.9
2003-03-31,290,15.1,423,0.5,18.0,23.3,14.2,14.0,17.6,19.0,18.0,45.2
2003-04-01,47,6.5,150,0.2,17.4,22.0,13.4,13.6,17.4,18.9,13.56,42.2
2003-04-02,210,7.1,208,0.0,17.4,21.9,13.2,13.0,16.4,18.8,11.74,41.5
2003-04-03,253,8.6,219,0.0,14.9,21.1,10.1,11.0,13.7,18.1,17.87,40.9
2003-04-04,273,6.8,180,0.0,15.8,22.1,10.3,10.7,14.6,18.3,14.4,40.2
2003-04-05,11,13.8,356,0.6,18.3,23.0,10.6,11.4,19.0,18.6,10.79,39.5
2003-04-06,9,10.3,211,29.3,18.6,21.3,14.2,14.7,20.7,19.2,3.67,51.2
2003-04-07,251,13.5,306,0.0,16.0,20.4,10.7,10.9,14.6,17.9,16.87,45.2
2003-04-08,255,9.4,219,0.2,14.5,20.9,9.6,9.5,13.1,16.7,15.05,42.7
2003-04-09,145,7.7,215,0.1,14.0,20.7,7.3,8.3,12.6,16.0,12.78,42.2
2003-04-10,198,6.9,202,0.0,15.6,20.5,9.9,10.7,13.5,16.5,13.13,41.8
2003-04-11,118,6.3,175,2.2,14.5,19.3,9.5,10.5,14.2,16.2,7.65,41.5
2003-04-12,85,7.9,185,0.3,13.9,19.8,8.8,9.4,13.8,16.0,12.07,41.3
2003-04-13,88,9.9,243,0.0,14.6,19.8,9.1,9.7,13.6,16.2,14.66,41.0
2003-04-14,117,15.9,478,5.4,16.5,18.7,14.1,13.1,15.1,16.1,6.73,41.3
2003-04-15,79,18.4,610,1.9,18.1,21.3,15.7,14.7,17.0,17.2,10.59,40.7
2003-04-16,129,10.3,274,0.0,18.2,23.0,13.6,13.8,13.2,17.7,9.7,41.1
2003-04-17,277,12.4,345,0.0,16.7,21.7,12.8,12.8,13.2,17.5,10.08,42.4
2003-04-18,9,6.6,177,0.0,15.1,20.4,10.2,10.7,13.2,16.8,10.53,42.3
2003-04-19,32,9.0,184,2.5,14.7,20.4,8.9,9.5,13.2,16.4,9.74,41.9
2003-04-20,45,10.4,240,12.1,16.1,19.7,13.1,13.2,13.2,16.8,6.58,43.3
2003-04-21,86,6.6,153,8.2,15.8,19.3,12.0,12.6,13.2,16.8,5.34,49.7
2003-04-22,211,8.3,170,3.9,14.5,21.1,8.9,9.9,13.2,16.1,11.54,47.6
2003-04-23,236,8.2,200,0.0,13.0,18.4,7.9,8.3,13.2,14.8,9.46,46.1
2003-04-24,232,11.3,292,0.3,14.3,17.4,9.9,10.4,13.2,15.1,7.43,44.8
2003-04-25,216,10.1,273,0.0,14.3,19.3,6.6,7.0,13.2,15.1,11.96,44.2
2003-04-26,237,10.8,233,0.1,11.4,18.3,3.3,4.2,13.2,13.8,13.41,43.4
2003-04-27,254,11.3,274,0.6,15.1,17.9,12.8,12.6,13.2,15.4,6.57,43.1
2003-04-28,171,6.6,199,0.0,14.4,19.8,9.0,10.0,12.9,15.9,12.42,42.9
2003-04-29,89,8.2,260,0.0,13.5,18.4,7.5,7.6,13.0,14.9,12.43,42.9
2003-04-30,34,9.1,273,1.4,14.9,19.6,8.4,8.9,13.7,15.1,9.79,42.8
2003-05-01,15,10.7,295,0.2,15.8,19.8,10.4,11.0,15.2,15.6,8.84,42.4
2003-05-02,25,19.1,411,19.3,17.5,19.2,14.6,14.1,18.3,16.3,2.06,45.4
2003-05-03,218,8.4,246,0.2,14.6,18.2,9.1,9.0,13.7,16.0,11.62,49.4
2003-05-04,267,10.6,264,0.1,12.8,19.3,7.6,8.7,13.2,14.5,11.15,46.7
2003-05-05,226,11.5,313,0.1,14.5,18.8,10.2,8.7,13.2,16.1,13.0,43.2
2003-05-06,75,12.9,470,1.1,16.2,18.2,14.8,13.3,14.5,15.2,7.92,45.3
2003-05-07,205,9.3,309,0.0,13.9,18.5,7.8,9.0,12.6,14.7,9.95,45.2
2003-05-08,222,10.0,248,0.1,11.7,18.3,6.5,7.5,11.4,13.2,10.5,44.9
2003-05-09,234,8.0,224,0.0,11.5,18.9,5.1,6.5,11.4,13.1,11.75,44.5
2003-05-10,298,12.3,309,0.0,12.5,18.5,7.7,7.8,12.8,13.5,9.1,44.0
2003-05-11,285,10.2,335,0.1,13.4,19.3,8.7,8.4,13.2,13.5,11.38,43.6
2003-05-12,283,8.5,256,7.7,13.2,17.4,7.9,8.1,14.0,14.2,6.33,45.4
2003-05-13,219,13.7,247,0.0,11.7,16.9,6.3,7.0,10.6,12.8,10.08,45.8
2003-05-14,211,5.7,131,0.1,10.4,18.6,5.2,6.1,11.1,12.0,8.2,45.4
2003-05-15,54,7.2,173,0.0,12.7,17.8,6.6,7.2,12.6,12.8,9.49,45.3
2003-05-16,101,5.1,105,0.0,11.2,18.0,5.8,2.4,11.3,12.7,12.09,45.0
2003-05-17,66,8.3,196,0.1,11.2,16.3,5.3,1.8,11.5,11.8,6.92,44.6
2003-05-18,62,12.3,499,0.0,16.3,18.0,14.1,10.9,14.7,13.6,4.95,44.2
2003-05-19,9,15.2,599,3.4,17.8,18.6,16.8,14.4,17.1,15.0,2.23,43.9
2003-05-20,3,12.7,289,15.2,18.6,19.5,17.7,15.6,20.4,16.7,3.15,47.3
2003-05-21,50,16.1,407,27.7,19.1,21.0,17.4,16.7,20.3,17.2,3.04,51.3
2003-05-22,3,13.8,357,2.7,16.5,19.9,12.8,9.7,17.2,16.9,7.72,51.4
2003-05-23,254,8.3,158,2.2,13.0,19.1,8.8,6.8,14.0,14.8,8.34,50.1
2003-05-24,226,5.9,114,0.3,12.2,18.9,7.6,6.1,13.5,13.6,6.66,49.2
2003-05-25,251,9.6,262,0.0,12.7,18.0,9.1,4.8,12.8,13.0,9.72,47.9
2003-05-26,238,7.1,186,0.4,12.1,18.5,6.8,4.0,12.7,12.9,10.1,47.1
2003-05-27,244,7.9,186,0.1,10.3,17.0,5.3,3.3,11.0,11.9,9.38,46.8
2003-05-28,219,12.0,238,0.1,10.3,15.9,3.9,1.5,10.6,10.9,8.86,46.6
2003-05-29,237,10.3,279,0.0,11.3,16.1,4.6,1.0,9.7,10.9,10.16,46.5
2003-05-30,251,15.9,573,3.0,14.0,16.9,10.5,5.1,13.3,12.1,7.25,46.5
2003-05-31,229,16.6,512,0.8,15.3,18.3,13.5,9.5,13.5,13.1,8.98,48.0
2003-06-01,244,12.5,326,0.0,15.1,16.7,12.5,8.7,13.4,13.6,3.85,48.8
2003-06-02,259,11.1,350,0.0,14.2,18.7,10.0,6.6,13.8,13.4,7.17,46.5
2003-06-03,270,9.7,293,0.4,13.7,18.2,9.7,6.7,13.8,13.1,6.95,46.6
2003-06-04,317,9.9,292,0.0,13.7,19.4,8.8,6.9,14.2,13.4,7.69,46.5
2003-06-05,322,6.9,257,2.8,15.4,16.8,14.2,12.2,16.6,14.6,3.51,46.5
2003-06-06,273,11.2,407,2.0,17.3,20.9,15.2,13.3,17.9,15.7,5.96,48.2
2003-06-07,262,14.3,479,0.6,14.6,17.8,10.0,7.7,13.8,14.1,6.8,49.1
2003-06-08,70,11.0,275,3.9,12.9,17.1,6.9,6.2,12.8,13.0,6.07,49.0
2003-06-09,322,22.8,541,30.8,14.2,17.5,11.8,9.6,14.0,13.9,7.96,51.5
2003-06-10,206,17.8,468,2.0,12.8,15.5,9.5,6.6,11.1,12.4,7.74,51.7
2003-06-11,155,10.6,256,0.0,9.2,13.9,3.0,1.4,8.5,9.9,9.64,50.7
2003-06-12,194,7.5,218,0.0,8.7,15.1,3.4,1.4,9.0,9.0,9.61,50.0
2003-06-13,269,5.2,126,0.0,7.5,16.0,2.4,0.4,9.0,8.6,9.74,50.5
2003-06-14,273,7.2,118,0.0,7.8,16.2,1.3,-0.1,9.7,8.6,6.86,50.1
2003-06-15,326,12.1,297,12.1,12.9,16.2,5.4,3.7,13.1,10.6,2.32,50.3
2003-06-16,256,20.3,679,10.3,12.7,15.8,10.9,9.0,12.7,11.5,6.85,51.6
2003-06-17,286,10.1,383,11.5,12.8,17.3,10.2,7.0,13.2,11.9,7.12,51.6
2003-06-18,205,10.1,182,4.1,13.6,17.8,10.7,8.5,14.3,12.5,5.68,51.6
2003-06-19,249,11.1,345,0.3,12.6,15.4,9.7,6.5,12.5,12.0,6.95,51.6
2003-06-20,275,10.9,297,2.7,12.5,15.9,8.6,4.6,13.7,11.7,5.14,51.5
2003-06-21,260,10.2,255,1.4,12.4,16.9,9.9,5.0,13.6,11.8,7.0,51.4
2003-06-22,305,5.5,146,0.2,11.4,17.2,5.1,3.3,12.3,11.6,7.97,51.5
2003-06-23,260,9.7,291,0.0,15.5,18.3,10.7,9.8,16.2,13.4,4.08,51.1
2003-06-24,276,11.7,318,0.2,13.5,16.8,8.8,5.3,14.3,13.0,4.64,50.5
2003-06-25,211,11.9,280,0.0,10.6,15.3,5.2,1.6,10.6,10.7,6.47,50.2
2003-06-26,113,7.5,200,0.0,8.3,13.4,3.6,0.2,8.8,9.0,9.34,49.8
2003-06-27,56,17.0,505,0.0,10.3,14.1,4.0,1.3,10.1,9.1,3.28,50.6
2003-06-28,58,20.3,758,0.6,15.0,16.2,13.8,12.1,13.1,11.5,1.45,50.8
2003-06-29,10,17.2,475,16.5,15.5,17.2,10.2,7.4,16.1,13.4,2.71,51.0
2003-06-30,288,11.5,264,1.3,14.2,19.4,8.6,6.7,15.0,12.7,8.29,51.4
2003-07-01,261,18.0,485,6.6,12.2,15.1,7.5,3.3,11.7,12.2,4.98,51.2
2003-07-02,240,15.1,370,5.5,9.8,13.5,7.7,4.7,10.4,10.4,8.04,51.4
2003-07-03,104,9.6,272,21.3,9.2,11.6,6.4,4.2,11.0,9.6,1.9,51.4
2003-07-04,229,15.4,419,13.5,10.4,13.9,7.9,3.6,10.3,10.4,7.11,51.2
2003-07-05,240,14.7,391,8.4,7.3,11.0,2.9,0.3,8.8,8.8,7.16,51.5
2003-07-06,207,11.1,269,0.0,6.1,11.0,1.2,-1.9,6.9,7.1,9.48,51.6
2003-07-07,322,10.2,290,8.8,7.3,13.5,0.0,-2.9,9.5,7.2,6.75,51.6
2003-07-08,240,11.1,297,0.8,10.7,15.1,7.7,4.0,11.3,9.2,7.27,51.8
2003-07-09,27,6.8,177,0.0,9.7,14.8,5.0,2.0,10.1,10.0,6.83,51.7
2003-07-10,288,10.9,280,1.1,9.6,16.0,5.2,2.6,10.8,9.2,4.95,51.6
2003-07-11,257,12.6,297,1.3,9.7,14.1,5.3,1.8,10.5,9.1,7.05,51.6
2003-07-12,123,8.2,231,1.4,8.4,12.4,4.6,1.6,8.7,8.3,9.28,51.7
2003-07-13,187,7.0,175,0.0,7.3,12.7,1.6,-2.1,8.2,7.5,10.11,51.6
2003-07-14,300,5.0,118,0.0,6.5,15.1,-0.1,-3.3,8.5,6.9,9.48,50.9
2003-07-15,279,9.9,277,1.8,10.3,15.2,5.0,2.0,11.6,8.6,5.71,50.5
2003-07-16,287,11.6,375,0.0,11.3,15.7,6.3,2.7,11.2,9.8,9.14,50.6
2003-07-17,295,12.0,389,5.8,12.4,15.6,10.0,7.8,13.3,10.6,3.58,50.6
2003-07-18,223,11.6,252,1.1,9.7,11.4,8.0,4.5,10.2,10.1,5.09,51.4
2003-07-19,246,14.2,346,1.9,10.4,13.7,7.5,3.9,10.8,9.5,8.66,51.5
2003-07-20,237,6.5,150,0.0,8.0,14.1,2.0,-1.4,8.9,8.8,10.59,51.6
2003-07-21,210,4.9,140,0.2,6.9,13.6,1.1,-2.0,8.7,8.1,8.07,51.7
2003-07-22,33,4.3,119,0.0,5.2,13.4,-0.2,-3.6,7.6,6.9,11.23,51.4
2003-07-23,125,6.4,160,0.0,6.6,13.8,-0.1,-3.4,8.5,7.0,10.34,50.9
2003-07-24,119,6.2,153,0.0,7.2,13.9,1.2,-1.7,9.4,7.6,9.96,50.7
2003-07-25,94,8.8,211,0.0,10.3,13.6,4.7,0.7,11.1,8.8,7.74,50.4
2003-07-26,73,6.6,192,1.5,11.1,14.7,7.7,4.2,12.4,10.3,6.22,50.4
2003-07-27,46,15.5,392,0.0,11.3,14.3,6.5,3.7,11.1,10.2,4.96,50.2
2003-07-28,45,18.7,443,5.5,13.0,15.2,8.4,5.7,13.1,11.6,6.19,50.6
2003-07-29,75,13.5,343,28.2,11.4,15.2,6.6,4.1,13.3,11.3,5.38,51.1
2003-07-30,141,12.4,413,12.4,12.2,13.1,11.0,10.2,13.0,11.8,3.24,51.2
2003-07-31,69,9.9,316,60.2,12.3,13.1,10.6,8.0,13.8,12.0,2.3,51.1
2003-08-01,56,5.7,139,0.4,10.3,12.8,5.6,4.7,12.4,11.3,5.29,51.3
2003-08-02,164,9.6,262,3.2,11.9,14.9,10.0,8.5,12.6,11.8,6.04,51.1
2003-08-03,195,9.3,345,0.2,11.6,15.8,6.7,2.9,9.8,11.0,11.03,51.2
2003-08-04,83,5.5,142,0.0,8.6,15.0,3.4,0.2,9.5,10.1,12.48,51.3
2003-08-05,204,6.4,114,0.1,7.6,14.9,2.8,-0.2,8.9,9.5,11.41,51.2
2003-08-06,74,5.0,103,0.0,7.1,14.1,1.0,-1.6,8.9,8.8,9.15,50.9
2003-08-07,70,6.5,125,0.0,9.2,15.3,3.4,-0.2,9.6,9.8,10.55,50.8
2003-08-08,31,9.4,199,0.1,9.8,15.6,6.0,3.4,11.0,10.3,8.52,50.5
2003-08-09,73,11.1,376,1.3,12.0,15.4,6.0,4.0,11.6,10.7,7.57,50.4
2003-08-10,85,14.6,555,8.2,12.9,14.4,12.0,10.9,12.4,11.6,5.03,50.4
2003-08-11,123,12.8,391,18.7,13.1,16.1,11.7,9.7,14.2,12.8,8.34,51.0
2003-08-12,113,13.3,326,4.4,12.3,13.2,11.3,9.6,12.9,12.0,3.0,51.3
2003-08-13,80,11.4,369,0.2,12.0,15.3,7.7,4.9,11.3,11.8,10.08,51.4
2003-08-14,73,7.2,182,0.0,10.0,14.6,4.7,2.1,10.2,11.2,14.11,51.3
2003-08-15,237,16.8,328,3.8,11.2,14.0,4.6,2.3,12.5,10.8,2.74,51.2
2003-08-16,260,18.8,516,4.6,10.6,14.2,8.0,4.1,10.0,10.4,11.09,51.5
2003-08-17,231,17.1,427,4.7,10.4,14.7,7.9,4.1,10.4,10.3,11.76,51.5
2003-08-18,249,13.1,343,0.9,10.1,15.5,4.7,2.2,10.1,10.3,13.51,51.5
2003-08-19,96,8.1,202,0.3,8.9,13.5,3.2,0.9,10.0,9.8,9.03,51.5
2003-08-20,204,17.2,550,46.1,9.8,11.2,8.3,7.5,11.2,10.2,2.06,51.0
2003-08-21,212,14.1,417,10.9,11.1,13.0,8.3,7.5,12.5,10.7,4.43,51.1
2003-08-22,140,9.2,254,6.6,12.4,14.0,10.9,9.8,13.7,11.8,4.31,51.2
2003-08-23,145,12.5,383,6.3,11.9,14.3,9.5,8.3,11.9,11.6,5.24,51.2
2003-08-24,82,12.8,346,0.1,13.0,15.9,11.0,8.0,11.9,12.1,11.4,51.4
2003-08-25,61,11.0,299,2.6,12.6,15.5,11.0,8.1,13.3,12.6,8.12,51.2
2003-08-26,41,10.9,368,0.0,12.6,14.9,10.1,7.7,12.4,12.4,7.9,51.2
2003-08-27,40,9.3,216,22.6,12.0,15.8,8.3,5.7,13.1,12.6,5.28,51.0
2003-08-28,263,12.8,275,0.8,10.2,15.5,5.3,3.0,10.6,11.5,13.12,51.2
2003-08-29,227,15.1,283,1.2,9.2,14.5,4.7,2.0,10.0,10.8,12.62,51.3
2003-08-30,209,9.0,256,0.0,10.4,15.8,5.2,2.9,9.4,10.9,12.05,51.2
2003-08-31,278,8.3,188,0.0,8.4,15.7,2.4,0.4,8.8,10.9,17.24,51.4
2003-09-01,313,13.1,300,0.2,10.4,16.8,2.6,0.0,10.6,10.8,11.05,51.1
2003-09-02,266,23.1,602,11.6,11.4,14.2,8.0,6.3,11.3,11.6,9.04,51.2
2003-09-03,241,17.2,572,1.1,11.9,15.9,9.7,6.9,11.4,11.4,13.09,51.4
2003-09-04,292,12.8,247,11.0,10.8,16.6,8.6,5.0,11.4,11.2,8.06,51.3
2003-09-05,225,20.6,522,21.6,9.7,11.8,7.8,6.6,11.1,10.9,6.25,51.1
2003-09-06,236,18.8,637,6.1,12.2,14.6,10.4,9.0,11.4,11.6,13.94,51.2
2003-09-07,245,13.3,386,1.9,11.8,15.5,8.3,4.7,11.7,11.9,13.27,51.4
2003-09-08,280,9.4,251,3.1,10.4,16.0,5.8,2.6,10.3,11.6,13.46,51.4
2003-09-09,16,8.0,188,20.1,9.4,14.5,6.3,4.1,11.0,11.7,7.56,51.2
2003-09-10,255,9.2,228,0.0,9.7,16.5,4.1,1.6,10.3,11.5,17.26,51.4
